PEAK;Ttr;II _tr;Compounds;M_H;CTL_1_R2;CTL_2_R2;AV_01_R2;AV_02_R2;AV_03_R2;BN_04_R2;SA_09_R2;BN_01_R2;SA_02_R2;SA_02_R2_denocciolato;SA_08_R2;CE_01_R2;CE_02_R2;CE_03_R2;NA_01_R2;NA_02_R2;SA_01_R2;SA_03_R2;SA_04_R2;SA_05_R2;SA_06_R2;SA_07_R2;SA_10_R2;BN_02_R2;BN_05_R2;AV_05_R2;AV_04_R2;AV_06_R2;AV_01_R2_EXT;SA_02_R2_EXT
4;11,557;0,557;Hydroxytyrosol;153;-1;0;0;-1;-1;0;-1;0;0;0;0;3,84;-1;0,38;-1;5,63;11,85;-1;-1;0,65;-1;-1;2,5;-1;10,21;-1;-1;-1;9,29;-1
12;13,43;0,43;Tyrosol;137;8,81;0;0;0;0;0;0;0;0;0;0;-1;-1;0;-1;-1;8,05;8,18;8,21;8,54;8,36;12,36;8,48;0;0;8,08;19,78;8,07;8,4;8,23
25;19,504;0,504;Elenolic_acid;241;19,77;20,63;0;18,6;84,47;20,31;19,84;0;0;0;12,71;11,7;26,32;0;21,15;14,8;0;12,28;13,36;18,17;20,39;0;15,89;73,91;38,4;0;12,37;15,79;0;8,94
39;27,454;0,454;Oleuropein_derivate;377;28,35;49,55;0;18,56;22,41;9,95;49,29;18,38;10,65;70,17;49,62;-1;40,67;-1;96,52;-1;71,79;-1;69,28;19,36;46,91;24,9;50,51;71,99;79,86;19,31;86,17;20,92;10,19;24,69
40;27,465;0,465;Oleuropein_derivate;377;28,34;73,58;0;20,06;17,29;9,69;58,79;20,25;10,57;81,51;45,35;9,33;36,58;46,6;117,41;110,2;82,94;9,69;103,51;20,35;37,63;18,65;92,35;74,14;82,14;21,62;163,68;26,23;10,53;23,02
41;27,638;0,638;Oleuropein_derivate;377;48,03;56,85;0;24,3;42,48;13,56;65,54;32,03;11,16;11,16;39,16;12,49;29,25;45,4;105,42;50,06;14,21;10,66;79,9;13,33;65,63;42,7;26,58;54,72;77,38;36,03;118,19;38,31;24,98;17,63
42;27,672;0,672;Oleacein;319;9,32;12,35;15,17;11,63;11,85;12,75;12,42;15,31;11,25;15,5;18,54;12,47;14,45;32,4;17,93;18,36;15,4;9,91;20,66;12,92;19,93;26,16;10,39;20,01;20,83;13,4;16,59;18,85;23,53;9,23
44;27,776;0,776;Oleuropein_derivate;377;95,88;127,79;115,9;35,79;183,95;37,41;118,74;44,57;13,24;69,57;96,96;237,48;88,12;51,3;38,25;40,72;39,44;14,76;81,9;98,73;61,56;55,96;76,57;58,84;70,13;41,12;81,08;107,27;14;92,76
45;29,593;0,593;Ligstroside_aglycone;361;11,03;11,35;8,3;9,42;11,03;8,15;9,38;10,2;8,31;13,19;8,77;-1;-1;9,05;14,32;8,91;8,56;8,43;12,78;8,55;9,17;8,79;8,1;10,14;9,91;8,58;14,25;8,8;8,93;8,66
46;29,611;0,611;Ligstroside_aglycone;361;11,44;14,57;9,05;11,6;12,87;8,37;9,32;11,91;8,07;15,08;11,03;8,03;8,24;10,53;15;10,44;9,18;9,31;14,37;9,7;10,64;8,39;9,32;11,47;11,33;8,82;13,83;9,36;9,12;8,49
47;29,815;0,815;Oleuropein_derivate;377;404,9;320,55;110,54;114,14;414,26;146,46;208,94;140,51;40,29;233,11;336,95;126,25;71,33;261,77;144,81;259,73;702,63;430,27;409,57;205,27;199,2;217,64;221,62;231,83;290,85;260,64;281,16;535,75;110,98;210,74
48;29,86;0,86;Oleuropein_derivate;377;36,84;32,62;16,56;26,11;98,02;21,31;29,5;25,78;16,42;16,69;27,05;29,09;33,38;27,4;33,48;28,69;45,03;34,7;21,94;39,87;48,43;20,73;34,81;17,08;23,39;34,36;77,78;58,01;-1;35,64
49;29,932;0,932;Ligstroside_derivate;361;12,9;9,94;11,62;9,94;13,35;9,66;15,91;10,34;9,05;14,75;10,3;10,88;10,46;11,36;13,56;10,36;9,03;15;21,68;15,55;12,51;12,79;11,04;9,62;13,17;15,5;13,34;14,42;15,75;18,36
50;30,735;0,735;Luteolin;285;9,03;11,13;6,82;6,59;6,98;7,75;6,29;6,79;7,92;8,97;7,63;6,72;6,93;7,78;7,16;6,74;6,74;8,43;7,58;8,23;7,46;7,06;7,02;8,31;7,18;8,22;6,68;7,07;7,56;9,37
51;30,905;0,905;Apigenin;269;1,25;4,38;-1;-1;0,71;0,25;0,99;-1;-1;0,88;0,31;0,03;0,11;0,87;-1;-1;0,14;0,03;1,38;0,41;0,19;-1;-1;1,02;0,25;1,48;-1;0,62;-1;1,38
52;31,667;0,667;Oleuropein_derivate;377;12,6;14,05;0;13,53;49,84;18,84;53,1;15,72;0;51,61;20,54;17,11;28,43;33,44;44,4;51,93;15,15;14,57;38,9;17,32;57,19;9,11;17,94;27,26;29,97;21,53;78,25;93,85;15,68;64,39
54;34,853;0,853;Ligstroside_aglycone;361;7,91;8,82;12,66;8,76;10,11;9,83;11,06;10,57;8,73;8,79;9,43;18,51;-1;0;13,56;10,11;11,16;8,95;-1;-1;9,26;12,4;9,38;14,06;10,39;9,13;10,55;9,76;15,18;9,97
