Codice_azi,UTM_33T_E,UTM_33T_N,SAMPLE_1,SAMPLE_2,SAMPLE_3,SAMPLE_4,SAMPLE_5
SA_01,"534366","4492689",0.00159546866692435,0.000428743912441288,0.000943374751908077,0.00344873591439272,0.00333070537000525
SA_02,"533400","4497729",0.00159546866692435,0.000428743912441288,0.000943374751908077,0.00344873591439272,0.00333070537000525
SA_03,"532691","4496036",0.00159546866692435,0.000428743912441288,0.000943374751908077,0.00344873591439272,0.00333070537000525
SA_04,"544846","4482954",0.00173315256669159,0.000577689847313783,0.00135333491216128,0.00358432198409133,0.00345381487140098
SA_05,"521212","4507190",0.0018044787890249,0.000464075787281316,0.0012770401449286,0.00395475460936726,0.0032024064994924
SA_06,"521032","4478595",0.00199516050105218,0.000393964098145635,0.00104550595261753,0.00575645940199096,0.00461766891105329
SA_07,"516478","4478170",0.00199516050105218,0.000393964098145635,0.00104550595261753,0.00575645940199096,0.00461766891105329
SA_08,"508226","4453305",0.00149543529628352,0.000247668053886142,0.000842568496505121,0.00526556716593231,0.00500554664953148
SA_09,"538815","4440839",0.0017827276035765,0.00103490639016553,0.00120527227415979,0.00535069490187501,0.00429758420742441
SA_10,"494229","4507338",0.00199847286431843,0.000294924436484679,0.000895897545091789,0.00676794473139565,0.00540755713794568
AV_01,"510323","4557605",0.00162417581523188,0.000623290048279194,0.000978485802530356,0.00226600140412277,0.00185372258958319
AV_02,"512510","4545860",0.00167673197905642,0.000520165138589861,0.00120770134055504,0.00297153477983459,0.00239242326878475
AV_03,"499556","4537925",0.00191798243694849,0.000538603960772001,0.00147257998974638,0.00442168741780001,0.00357317036109495
AV_04,"507847","4529961",0.0021435543753803,0.000607942765145557,0.00229183783759954,0.00446165660121279,0.00351100834379827
AV_05,"473805","4544030",0.00247644688363869,0.000546222396284382,0.000950551538984958,0.00560375945541671,0.0047838391349103
CE_01,"411556","4568528",0.004571075001108,0.000745185016477293,0.000551743001728137,0.00424138444400699,0.00476771896701454
CE_02,"447014","4559860",0.00489369918324101,0.000838152012150118,0.000867411221002016,0.00483253087492421,0.00478891809191855
CE_03,"444023","4578167",0.00535235108350813,0.00176119724234586,0.000808340742753844,0.00398931359944516,0.00411518340356276
BN_01,"473722","4572164",0.00277765111664993,0.00130276616629649,0.000870723584268269,0.0026107080080308,0.00234947295843234
BN_02,"462973","4567683",0.00372001846589882,0.00135499109379441,0.000983012698994235,0.00334362358674364,0.00315691671063586
BN_03,"460818","4548556",0.00407146020844822,0.000637974858759581,0.000895787132982914,0.00529846997437709,0.00497838527074821
BN_04,"486710","4549102",0.00170554953947282,0.000511994642533104,0.000690310198366373,0.00353529900775079,0.00296248098690683
BN_05,"482509","4580623",0.00273160926724902,0.00184886445679268,0.00113361481549986,0.00201768457126269,0.00172487165852596
NA_01,"452715","4502158",,,,,
NA_02,"447683","4496018",,,,,
AV_06,"502102","4540962",0.00191798243694849,0.000538603960772001,0.00147257998974638,0.00442168741780001,0.00357317036109495
