Codice_azienda;N_campionamento;Anno;N_oliva;Volume_(cm3);Area_superfice_(cm2);Lunghezza_(mm);Larghezza_(mm);Sfericità;Forma_(L/W)
AV_01;R2;2020;1;0,441174773;3,914334193;18,57146481;7,14;0,71597854;2,601045491
AV_01;R2;2020;2;0,37803352;3,280149682;15,86473647;7;0,77080408;2,266390924
AV_01;R2;2020;3;0,423244285;3,626233018;17,72346708;7;0,7517772;2,531923869
AV_02;R2;2020;1;0,440934089;3,882115386;20,92060191;6,86;0,72165806;3,049650424
AV_02;R2;2020;2;0,429120154;3,648782339;18,93496753;6,93;0,75403026;2,732318547
AV_02;R2;2020;3;0,438732672;3,760829893;17,36368382;6,72;0,74244978;2,583881521
AV_03;R2;2020;1;0,472281885;4,328302178;17,18648206;7,68;0,67759066;2,237823185
AV_03;R2;2020;2;0,536639665;4,744530993;17,11612714;8,32;0,67309963;2,05722682
AV_03;R2;2020;3;0,403328356;3,924266762;16,18501436;7,616;0,67271551;2,125133188
AV_04;R2;2020;1;0,70891733;5,136373936;21,50940155;8,37552;0,74855644;2,568127299
AV_04;R2;2020;2;0,454755563;3,793451947;20,01752457;7,50307;0,75387884;2,667911212
AV_04;R2;2020;3;0,49188748;3,909520584;19,14303898;7,67756;0,77079307;2,493375367
AV_05;R2;2020;1;0,502621388;3,764949579;15,23739988;7,744;0,81199297;1,967639448
AV_05;R2;2020;2;0,422797249;3,424852245;17,87233782;7,488;0,795421;2,386797252
AV_05;R2;2020;3;0,453615557;3,597551039;15,47219107;7,68;0,79360145;2,014608212
AV_06;R2;2020;1;0,300470836;2,708138267;13,52927148;6,848;0,80109036;1,975652962
AV_06;R2;2020;2;0,373654692;3,227367328;15,76384051;7,04;0,77734896;2,239181891
AV_06;R2;2020;3;0,259428384;2,471520899;13,55100352;6,464;0,79591159;2,096380495
BN_01;R2;2020;1;0,467209431;3,935027096;18,61788667;7,28;0,73996435;2,557402015
BN_01;R2;2020;2;0,586596579;5,322423071;22,4351917;7,7;0,63669936;2,91366126
BN_01;R2;2020;3;0,546742815;4,480430343;20,74015965;7,42;0,72169404;2,795169764
BN_02;R2;2020;1;0,440949592;3,743472276;15,85992717;7,07;0,74840291;2,243271169
BN_02;R2;2020;2;0,595446943;4,34841939;18,58046731;7,7;0,78713293;2,413047703
BN_02;R2;2020;3;0,46927521;3,665036416;16,36015961;7,56;0,79681513;2,164042276
BN_03;R2;2020;1;0,260243283;2,539608447;11,53089984;6,528;0,77619418;1,766375588
BN_03;R2;2020;2;0,200189673;2,078264332;12,26687179;5,76;0,79630197;2,129665242
BN_03;R2;2020;3;0,177912331;1,86093567;10,41400908;5,504;0,82203466;1,892080138
BN_04;R2;2020;1;0,614363091;4,768431079;22,73644738;7,474475;0,73292358;3,041878845
BN_04;R2;2020;2;0,579192542;4,597759445;21,80075859;7,73828;0,73083587;2,817261535
BN_04;R2;2020;3;0,592393967;4,926286241;23,75486879;7,73828;0,69242313;3,069786669
BN_05;R2;2020;1;0,45738681;3,793144966;18,60296685;7,61488;0,75684528;2,442975707
BN_05;R2;2020;2;0,334682816;3,107902737;18,14642744;6,52704;0,75007665;2,780192468
BN_05;R2;2020;3;0,436146974;3,804044079;19,94073545;7,07096;0,73112869;2,820088849
CE_01;R2;2020;1;0,588310973;4,836623489;15,68627677;8,54;0,70201514;1,836800558
CE_01;R2;2020;2;0,525418282;4,28196329;16,2649807;8,33;0,73537914;1,952578716
CE_01;R2;2020;3;0,409090226;3,44809379;13,80659711;7,35;0,77289018;1,878448586
CE_02;R2;2020;1;0,230317512;2,309797423;13,67946415;5,696;0,78667414;2,401591318
CE_02;R2;2020;2;0,29932111;2,830711156;13,95391692;6,592;0,76444598;2,116795649
CE_02;R2;2020;3;0,365413784;3,164848674;15,83009831;6,72;0,78100616;2,355669391
CE_03;R2;2020;1;0,314827879;2,643274256;11,03491686;7,38;0,8466892;1,495246187
CE_03;R2;2020;2;0,306029107;2,720382173;11,47971979;7,2;0,80728961;1,594405526
CE_03;R2;2020;3;0,352920504;2,983615979;12,52065809;7,32;0,80945453;1,710472416
NA_01;R2;2020;1;0,238293668;2,475415858;14,00439885;6,08;0,75089225;2,303355074
NA_01;R2;2020;2;0,246537519;2,373980256;13,31091783;6,272;0,80093211;2,12227644
NA_01;R2;2020;3;0,25786003;2,545950017;14,96844444;6,208;0,76952654;2,411154065
NA_02;R2;2020;1;0,232406338;2,357445469;14,00932256;6;0,77542735;2,334887094
NA_02;R2;2020;2;0,216686812;2,161096306;12,50605962;5,82;0,80729387;2,148807495
NA_02;R2;2020;3;0,225732064;2,297279276;12,71886251;5,88;0,78042738;2,163071855
SA_01;R2;2020;1;0,356103298;2,996626899;13,95489115;7,02;0,8107783;1,987876232
SA_01;R2;2020;2;0,255563551;2,543271511;14,34730906;6;0,76575647;2,391218176
SA_01;R2;2020;3;0,29478539;2,605588042;13,52809564;6,9;0,82208302;1,96059357
SA_02;R2;2020;1;0,513572206;3,93728727;18,28924025;8,1;0,78768885;2,257930895
SA_02;R2;2020;2;0,3448644;2,964436451;14,6544373;7,98;0,80224599;1,836395651
SA_02;R2;2020;3;0,283880438;2,578821922;12,78523477;6,6;0,81000261;1,937156784
SA_03;R2;2020;1;0,308993945;2,77094316;15,17071019;6,664;0,79766981;2,276517135
SA_03;R2;2020;2;0,250258999;2,405544788;12,74491296;6,384;0,79835701;1,996383608
SA_03;R2;2020;3;0,093678234;1,244981417;9,016874957;4,536;0,80121128;1,987847213
SA_04;R2;2020;1;0,330515555;2,857770381;14,51712582;7;0,80894326;2,073875118
SA_04;R2;2020;2;0,377826489;3,154352562;15,2627585;7,168;0,80125145;2,129291085
SA_04;R2;2020;3;0,34239523;3,059616186;13,94004782;7,112;0,7735748;1,960074216
SA_05;R2;2020;1;0,488362319;3,778741366;16,2295436;7,872;0,79365494;2,061679828
SA_05;R2;2020;2;0,429626785;3,642033833;15,48853111;7,872;0,75602191;1,967547143
SA_05;R2;2020;3;0,37580302;3,435259583;15,99280159;6,848;0,73310257;2,335397428
SA_06;R2;2020;1;0,331082726;3,00639697;15,68259902;6,54;0,76983115;2,39795092
SA_06;R2;2020;2;0,257848338;2,624005039;16,09549812;5,88;0,74661323;2,737329612
SA_06;R2;2020;3;0,232317636;2,301751685;13,56346622;6,12;0,7939877;2,216252651
SA_07;R2;2020;1;0,318915319;2,81417136;14,37284658;6,664;0,80214061;2,156789703
SA_07;R2;2020;2;0,245972396;2,466528316;15,34635879;5,88;0,76970138;2,609924965
SA_07;R2;2020;3;0,280371947;2,590484605;13,32540059;6,608;0,79969825;2,01655578
SA_08;R2;2020;1;0,428724134;3,413346878;13,28329762;7,56;0,80554348;1,75704995
SA_08;R2;2020;2;0,297941067;2,820786209;15,50519343;6,12;0,76477591;2,533528338
SA_08;R2;2020;3;0,269739443;2,612206657;14,73757473;6,3;0,77286961;2,339297576
SA_09;R2;2020;1;0,325722863;2,991724318;14,95946308;6,6;0,76523481;2,266585315
SA_09;R2;2020;2;0,320762972;2,890719541;14,73193239;6,48;0,78391261;2,273446356
SA_09;R2;2020;3;0,341230483;2,989603881;14,36380369;6,72;0,78989438;2,137470787
SA_10;R2;2020;1;0,314481632;2,815018395;13,23649984;6,976;0,79444971;1,897434037
SA_10;R2;2020;2;0,32510566;2,802256673;12,15746005;7,552;0,81594189;1,609833164
SA_10;R2;2020;3;0,268450066;2,571190905;12,28615693;6,976;0,78269425;1,761203688
