Codice_azienda;N_campionamento;Anno;ID_foglia;Area_(cm3);Lunghezza_(cm);Larghezza_(cm);Forma_(L/W);Circolarità;Rotondità;Perimetro_(cm);Aspect_ratio;Irregolarità_contorno
AV_01;R2;2020;P1R14;2,35;5,41;0,67;8,07;0,1;4,21;11,11;8,25;0,65
AV_01;R2;2020;P1R11;2,85;5,94;0,84;7,07;0,1;4,19;12,2;7,47;0,36
AV_01;R2;2020;P1R15;2,26;5,26;0,66;7,97;0,1;4,09;10,74;8,59;0,08
AV_01;R2;2020;P1R13;2,8;5,78;0,78;7,41;0,11;4,02;11,86;7,32;0,39
AV_01;R2;2020;P1R16;1,96;4,67;0,79;5,91;0,11;3,85;9,71;6,13;0,84
AV_01;R2;2020;P1R22;3,85;6,59;0,92;7,16;0,11;3,8;13,52;6,61;0,3
AV_01;R2;2020;P1R1;4,3;6,47;1,08;5,99;0,13;3,45;13,63;6,14;1,65
AV_01;R2;2020;P1R12;3,36;5,58;1;5,58;0,14;3,39;11,94;5,81;2,24
AV_01;R2;2020;P1R10;2,82;5,32;0,81;6,57;0,13;3,39;10,93;6,26;0,23
AV_01;R2;2020;P1R17;2,66;5,11;0,82;6,23;0,13;3,38;10,61;6;0,88
AV_01;R2;2020;P1R9;4;5,89;1,08;5,45;0,15;2,99;12,23;5,02;0,56
